id,city,city_aka,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type
1,Jakarta,[],,Indonesia,IDN,Asia,-6.175394,106.827183,323.03,8540121,273523621,11.3,96,160.3,31.2,36.1,191.4,"[gmDBzijaIAA,1pVb62M-RLI,AppxCYZbyLo,x6Dxv-rNbaw,CwJQXjiXtRE,3ekXQoPqgjI]","[[0],[0],[0],[0],[0],[0]]","[[29],[0],[0],[0],[0],[34]]","[[2968],[868],[570],[641],[806],[2738]]","[0,0,0,0,0,0]"
2,Manila,[],,Philippines,PHL,Asia,14.590622,120.97997,162.3,1600000,109581085,12,96,159.6,25.4,40.7,177.9,"[JY-Xyiept88,z6EGkbnUxSQ,2tfyoN70EHo,F7heBWT2QVM,IhmOCrdAdfA,ct0xmT226Kk,pp8Nz5yvft4,Z2cV43H0WHM,0PGzvVw8R00,wwVA_jA1uAQ,BxU8j0RcsRg,A6oTbgZ512o,DATXRwzTDa0]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[43],[25],[49],[28],[0],[0],[0],[12],[8],[12],[5],[7],[10]]","[[4844],[3437],[4896],[3600],[527],[449],[409],[1605],[820],[4286],[1603],[1470],[1622]]","[0,0,0,0,0,0,0,0,0,0,0,0,0]"
3,Monaco,[],,Monaco,MCO,Europe,43.738418,7.424616,6.816,32965,39244,5.5,99,180,56.2,27.5,84.43,"[ij6xccYYIuE,1oAR3mVJmww,tp3mSn9B6SY,HGk2D7t7SMA,VWM02zJLYvY,lYniyR3aU_g,Xs6HbiKCFZ0,0Jlebs29SOc,IILuJo-AiYE]","[[1],[1],[0],[1],[1],[1],[0],[0],[0]]","[[22],[46],[38],[44],[29],[0],[0],[3659],[50]]","[[1875],[2915],[3111],[2917],[1956],[1428],[1541],[4500],[756]]","[0,0,0,0,0,0,0,0,0]"
4,Kuala Lumpur,[],,Malaysia,MYS,Asia,3.151696,101.694237,59.831,1453975,32365998,22.5,83,163.1,31.4,40.7,170.2,"[AxQcSoA9vGQ,ePVXT8qOhJY,NBUMGTGFbM0,CMRwuWFMvMM,wkPJqHA7uWQ,Hczhu3udhmI,zFGxTNwRo5g]","[[0],[0],[0],[0],[0],[0],[0]]","[[23],[27],[26],[2595],[12],[70],[55]]","[[3140],[3087],[2459],[2680],[287],[2643],[1161]]","[0,0,0,0,0,0,0]"
5,Damascus,[],,Syria,SYR,Asia,33.5130695,36.3095814,8.98,1569394,17500657,14.9,86.4,165.5,25,26.6,121.94,"[qzimFzMh6lA,GDSRSzo5DDw,I0UeMmyvdQw,f1_63yasB4w,gmRVVKou1ds,8ThJZ3hVxYw,ORZLHfYIRWM,kxdW_OOqiFE,OKEdnuzkqGw,QWKNxgwxZ_8,AoIo2JOUk_w,Sg1fECUlm8Q,fajNoXSllfU,SIDCbCRA4Bg,Ma02AMIz_ac,ZkO3neFwQbs,fUXghnYL6ks,pcsLcSqzxyk,xlZrVhNmJas,_7OcQ5p3u78,3olyd9HllwM,6bgzQTZY1is,U4bhoDJIsU0,zjQmjVUziXk,I2ZOEBZXNq0,vO17QNa8HBQ]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[0],[7],[0],[0],[0],[0],[0],[0],[13],[0],[0],[0],[0],[0],[4],[6],[3],[4],[0],[3],[0],[0],[2],[3],[4],[4]]","[[1339],[1290],[852],[2201],[1304],[2727],[1956],[1136],[783],[1802],[1350],[1227],[755],[1334],[1329],[902],[1205],[1718],[1457],[619],[1725],[776],[860],[1286],[1068],[1315]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
6,Luanda,[],,Angola,AGO,Africa,-8.8272699,13.2439512,84.722,2776168,32866268,26.1,72,163.3,16.2,51.3,369.74,"[z3Gx2hp3Vo8,HB7rzUR00HU,x40RUfSsSI8,6TeHlLJYa9o,tKPYPSXYOA8,tcbMGaXR2Q0,QwCOIeBtZkk,UitRrPhnHxQ,YezQHCGpl9A,nsf2c3kPk84,ot5kJPrvJ_E,qXevvW0qRSM,mYftbjvdFGU,W6_iTBzU4fo,1ZAMt4goxuI,7UNQyKBdCzg]","[[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[0],[0],[89],[22],[9],[27],[0],[0],[0],[0],[0],[0],[0],[0],[0],[6]]","[[1836],[830],[1670],[1558],[468],[707],[854],[666],[368],[1020],[586],[786],[904],[954],[942],[605]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
7,Moscow,[],,Russia,RUS,Europe,55.750446,37.617494,504.808,10381222,144104080,12,100,171,41.5,37.5,173.7,"[wCKLtcGQnWc,XANvPSTY0Ho,vffgKEGG-8Y,DGoQzuuL5CA,KooHk6Q59po,qgP9XvNjais,Anvu-V-fWL8,xe3ubiRnJP8,yOdCaHnPFE0,HKvumX4mX_M,JDjgk5rBME0,PEeC8F3V44I,1hJdx3pgon4,YqPCjF7pLWM,bfz7rAzGFS8,wS4z0j6NCxA,y4kjKggPR5c,kJxE-QNHQbE,14RgWp2WnqA,K4WRd8tc56M,lxU7aj-Jffc,4KGdWCsNVDo,_laV2ASWIkc,NE2PixWFKWE,d-oBQbmlC_c,FaydcZGJwu0,wr97EZ9s0qY,ExfYZ1ue30Q,2An6OxjGd3E,eGSB0PqIjvI,XNrB4wu6YtA,Q7AA9OJhavI,F5FbEWJPm5A,8yB6Zfk4nJ0,LBPtucFK4Zs,2VpIdbj9tWQ,XQjyF_SFqO4,eAAnuaAUF-A,EagAdFF4UdA,aWmcly-yvYs,SjgUVUzNQsw,RNKZqxVdB3E,8cNTLiSoir8,P85Rb1G9ZKo,IZaJLMdnKXc,SG2zQI-SlgQ]","[[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0,1],[0,1],[0,1],[0,0],[0],[0],[0,1],[0],[0,1],[1],[1],[0,0],[0],[0],[0],[0],[0,0,0],[0],[0],[0],[0],[0],[1,1],[0],[0],[1],[0],[0],[0,0],[0,0],[1,0],[0]]","[[0],[0],[0],[0],[0],[5],[34],[2],[9],[1],[5],[1],[1],[8],[1,5560],[1,1400],[1,7631],[1,7687],[1],[1],[1,4833],[1],[1,5922],[1],[1],[1,737],[13],[22],[1],[1],[171,478,637],[1],[1],[1],[1],[47],[59,305],[0],[0],[0],[188],[11],[23,1079],[412,619],[52,3],[0]]","[[2253],[2230],[1837],[4352],[4007],[599],[1695],[2690],[1472],[872],[1737],[722],[710],[1002],[5528,8783],[1387,3201],[7518,9812],[7613,9833],[4577],[6148],[4786,8445],[3180],[5437,6589],[5845],[746],[698,995],[1613],[1835],[1616],[2361],[446,576,1214],[8500],[1582],[1203],[668],[807],[290,674],[2857],[4178],[1835],[4930],[1687],[754,2055],[598,1188],[2605,1739],[4305]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
8,Seoul,[],,South Korea,KOR,Asia,37.5545547,126.9707793,878.535,10349312,51780579,8.6,99,169.3,43.7,32.9,148.4,"[qOx5CwCrN9k,eMv6SCniTPg,40xZVEFVBuE,uL9Bc3oqFj0,WRKXnQWfn_A,DlLqFGoNFZ8,WzXi7amY4rc,SuGOd1qRCxI,KGAIumGxQeY,ks91v105I1E,PZJqgRHVVJk,qFQV2sCLntQ,wcq3fi5BSI8,iYBU_zhUb5A,o1R9pR448xg,bhbYhsHXK64,krrI2Wurp8s,Px1RDkBSPyU,VnhIA_sgrWg,T4j2BhFs6FY,vqJYr30JYQU,fFCY7gCbmrk,F8Q7dMU5HxQ,eKxw3X8T7QY]","[[0],[1],[1],[1],[0],[0],[0],[0],[0],[0],[1],[0,1],[0],[1],[0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1],[0,1,1,1,1,1,1,1,1,1],[0,1,1,1],[0,1,1,1,1],[0,1,1,1,1,1,1,1,1],[0,1,1,1,1,1,1,1,1,1,1,1,1,1],[0,0,1,1,1,1,1,1,1],[0,1,1,1,1,1],[0,1,1,1,1,1,1,1,1,1],[0,0,0,1,1]]","[[14],[26],[5],[2],[17],[0],[20],[23],[22],[0],[0],[0,1166],[0],[1160],[152,2840,3658,20055,150,2188,2838,3664,11265,12062,14766,16563,17850,20051,21492,24002],[110,5852,12660,17273,17597,21017,27559,29572,30533,33910],[94,4577,20011,26069],[960,2899,7765,22198,25363],[324,3462,3774,5022,14260,19570,22016,26743,28287],[192,5643,8132,10948,11659,13698,16243,19540,20683,23628,24080,24462,27665,28453],[180,3518,3546,5400,11016,14647,15615,17041,20765],[499,3061,5420,7341,8940,9343],[91,4543,7950,13272,17261,19460,20408,20756,22569,23793],[112,667,2552,4994,5825]]","[[1417],[5476],[3418],[3332],[2802],[3003],[3069],[1760],[2859],[3815],[1840],[1165,3388],[4022],[1190],[2839,3455,18448,25277,925,2837,3460,10894,11653,13949,16331,16759,18448,20837,23271,25281],[5075,11920,16521,17475,19162,25607,28018,30201,31950,34247],[4576,19515,25023,28293],[2898,7434,20841,25098,29777],[2994,3773,4651,13368,18820,21652,26657,27041,29322],[5642,6819,10476,11155,13470,15229,18530,20062,22842,23754,24289,25670,27993,30588],[3074,3545,4762,10477,13801,14964,15941,20335,21832],[1248,5215,5707,7790,9193,9485],[1295,6571,13033,17110,18452,20141,20618,21260,23266,26815],[174,2511,4993,5247,13139]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
9,Tokyo,[Tōkyō],Tokyo,Japan,JPN,Asia,35.682839,139.759455,2080.758,9733276,125836021,3.6,99,165.3,49.5,32.9,143.7,"[oDejyTLYUTE,lSgTVt60M6U,hG-Jwim47Kc,-YNLQlmPnqA,Y11w05u97Iw,qPgWV8Rxemo,8RMAtcN2atE,d115_8Wjpbg,3waBgn_N22c,ZobYWO8JqpY,K830yXMiFkY,01E_6NfmQ10,B8Yyf6WKgaM,ceEE_oYuzS4,z1obnaqPgMA,YkcwMdCGfm0,kMSDA3n6zPI,3JBGMl3L31E,Eey3ct5wQBo,ZYkxhfLcUKc]","[[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,0],[0],[0],[1,1],[0,0,0,0],[0],[0],[0,0,0]]","[[23],[0],[0],[17],[12],[22],[23],[18],[28],[32],[32],[33],[28,1340],[22],[32],[860,3260],[32,1688,2102,3765],[20],[126],[90,1702,4003]]","[[2310],[3907],[2138],[2169],[2979],[3050],[2171],[2230],[3090],[1956],[1896],[3792],[60,1480],[844],[2481],[2684,5300],[1281,2094,3403,5859],[1379],[1270],[999,3688,5185]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
10,Dhaka,[],,Bangladesh,BGD,Asia,23.764402,90.389015,258.2,10356500,164689383,15.3,75,158.7,29.2,33.4,257.3,"[ZruaEnhtYLA,GzeHMUv9nS8,MAbniQ4EjK8,lVfMayq7MvI,4GHkedB4YP8,Hy4st9mRcEk,vAhZgg_nI0E,JHZcPVWznDg,r2h6Cksk-3k,G3U20XqX3LE,IPBGqxQx02A,X-W8JYvHw2s,ak_gmSb2ibg,FxM70SWqpGo,8P2IBqv_nxc,2EQxGaS9T78,sRGC6T7Ah5I,mxxqIqnGEiE]","[[0,0],[0,0],[0],[0],[1],[0],[1],[0],[0],[0],[0],[0],[0],[0,0,0,0],[0],[0],[0,0],[0]]","[[58,1632],[0,9462],[70],[517],[0],[0],[0],[3],[0],[2653],[0],[0],[0],[30,1073,2002,2154],[0],[17],[178,2013],[8]]","[[1531,3990],[4157,13122],[1617],[1272],[1832],[886],[1896],[1814],[1305],[3453],[3541],[982],[1604],[540,1420,2061,2353],[2196],[940],[795,2393],[1014]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
